topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
Blogs,0,15,ablation-analysis,emotion label,of,happy,emotion label of happy,0.5507864356040955
Blogs,0,43,ablation-analysis,ablation analysis,effectiveness of,pair filtering phase,ablation analysis effectiveness of pair filtering phase,0.6372940540313721
Blogs,0,8,experiments,fourth clause,considered,emotion clause,fourth clause considered emotion clause,0.624242901802063
Blogs,0,8,experiments,emotion clause,conveying,emotion of happiness,emotion clause conveying emotion of happiness,0.6981871128082275
Blogs,0,9,experiments,clauses,that contain,causes ( cause clause ),clauses that contain causes ( cause clause ),0.6335076093673706
Blogs,0,9,experiments,causes ( cause clause ),are,second clause and the third clause,causes ( cause clause ) are second clause and the third clause,0.5258371829986572
Blogs,0,14,experiments,pairs,of,emotion - cause clauses,pairs of emotion - cause clauses,0.5950623750686646
Blogs,0,35,experiments,benchmark emotion - cause dataset,by,"gui et al. , 2016","benchmark emotion - cause dataset by gui et al. , 2016",0.499880850315094
Blogs,0,33,hyperparameters,pairs,that,output 1,pairs that output 1,0.6917052865028381
Blogs,0,33,hyperparameters,pairs,used for,evaluation,pairs used for evaluation,0.6487993597984314
Blogs,0,33,hyperparameters,output 1,final set of,emotion - cause pairs,output 1 final set of emotion - cause pairs,0.6502988934516907
Blogs,0,33,hyperparameters,hyperparameters,has,pairs,hyperparameters has pairs,0.5769965648651123
Blogs,0,4,model,deep learning method,to extract,causes behind emotions in a document,deep learning method to extract causes behind emotions in a document,0.700550377368927
Blogs,0,4,model,model,develop,deep learning method,model develop deep learning method,0.5707491636276245
Blogs,0,6,model,emotion and causes,from,text,emotion and causes from text,0.6132484078407288
Blogs,0,6,model,emotion and causes,using,multi-task learning,emotion and causes using multi-task learning,0.6272367238998413
Blogs,0,6,model,emotion and causes,conducts,emotion - cause pairing and filtering,emotion and causes conducts emotion - cause pairing and filtering,0.718244731426239
Blogs,0,6,model,emotion - cause pairing and filtering,using,improved version of the multi-task learning model,emotion - cause pairing and filtering using improved version of the multi-task learning model,0.6330638527870178
Blogs,0,6,model,model,separately extract,emotion and causes,model separately extract emotion and causes,0.7445849776268005
Blogs,0,18,model,two parts,conduct,emotion - cause pairing and filtering,two parts conduct emotion - cause pairing and filtering,0.6878167986869812
Blogs,0,18,model,extract sets,of,emotion and cause clauses,extract sets of emotion and cause clauses,0.5743988156318665
Blogs,0,18,model,emotion and cause clauses,from,each document,emotion and cause clauses from each document,0.5786283612251282
Blogs,0,18,model,each document,via,two kinds of multi-task learning networks,each document via two kinds of multi-task learning networks,0.6144724488258362
Blogs,0,19,model,pairing,done via,cartesian product,pairing done via cartesian product,0.7035505175590515
Blogs,0,19,model,cartesian product,applied to,set of emotion and cause clauses,cartesian product applied to set of emotion and cause clauses,0.704578161239624
Blogs,0,19,model,model,has,pairing,model has pairing,0.6097388863563538
Blogs,0,20,model,candidate emotion - cause pairs,on which,filter,candidate emotion - cause pairs on which filter,0.5215123295783997
Blogs,0,20,model,filter,applied to remove,clause pairs,filter applied to remove clause pairs,0.7009819746017456
Blogs,0,20,model,clause pairs,do n't contain,causal relationship,clause pairs do n't contain causal relationship,0.6689996719360352
Blogs,0,21,model,emotion and cause clauses,are,mutually independent,emotion and cause clauses are mutually independent,0.5932605266571045
Blogs,0,21,model,emotion and cause clauses,not,mutually independent,emotion and cause clauses not mutually independent,0.7066947817802429
Blogs,0,21,model,model,propose,interactive multi,model propose interactive multi,0.7110477089881897
Blogs,0,23,model,prediction,for,each type of clause,prediction for each type of clause,0.6243258118629456
Blogs,0,23,model,prediction,performed via,bi-lstm hidden representations,prediction performed via bi-lstm hidden representations,0.568273663520813
Blogs,0,23,model,bi-lstm hidden representations,consist of,context - aware representations,bi-lstm hidden representations consist of context - aware representations,0.6180837154388428
Blogs,0,23,model,context - aware representations,of,each clause,context - aware representations of each clause,0.5606902241706848
Blogs,0,23,model,model,shows how,prediction,model shows how prediction,0.727959394454956
Blogs,0,25,model,model,has,task learning network,model has task learning network,0.5185685753822327
Blogs,0,27,model,improved model,performs,few extra steps,improved model performs few extra steps,0.5751604437828064
Blogs,0,27,model,few extra steps,in,upper layers,few extra steps in upper layers,0.5167784094810486
Blogs,0,27,model,few extra steps,allows,prediction,few extra steps allows prediction,0.717065155506134
Blogs,0,27,model,prediction,based on,interaction,prediction based on interaction,0.7232909798622131
Blogs,0,27,model,interaction,of,two types of representations,interaction of two types of representations,0.5927369594573975
Blogs,0,28,model,enhancing emotion extraction,based on,cause extraction,enhancing emotion extraction based on cause extraction,0.6315200924873352
Blogs,0,28,model,enhancing cause extraction,based on,emotion extraction,enhancing cause extraction based on emotion extraction,0.6495480537414551
Blogs,0,28,model,cause extraction,has,inter ce ),cause extraction has inter ce ),0.5566367506980896
Blogs,0,28,model,emotion extraction,has,inter ec ),emotion extraction has inter ec ),0.5833645462989807
Blogs,0,29,model,model,has,output,model has output,0.5534584522247314
Blogs,0,30,model,objective,pair,two sets,objective pair two sets,0.7253853678703308
Blogs,0,30,model,two sets,to form,emotion - cause pairs,two sets to form emotion - cause pairs,0.6195940971374512
Blogs,0,30,model,emotion - cause pairs,that form,causal relationships,emotion - cause pairs that form causal relationships,0.6714186072349548
Blogs,0,30,model,model,pair,two sets,model pair two sets,0.7699059844017029
Blogs,0,30,model,model,has,objective,model has objective,0.5278581380844116
Blogs,0,32,model,cause relationship,determined via,logistic regression model,cause relationship determined via logistic regression model,0.6475850939750671
Blogs,0,32,model,cause relationship,outputs,1 or 0,cause relationship outputs 1 or 0,0.6932185292243958
Blogs,0,32,model,logistic regression model,takes as input,emotion - cause candidate pair features,logistic regression model takes as input emotion - cause candidate pair features,0.666215717792511
Blogs,0,32,model,emotion - cause candidate pair features,applied,sigmoid operation,emotion - cause candidate pair features applied sigmoid operation,0.7031797170639038
Blogs,0,32,model,1 or 0,to indicate,relationship,1 or 0 to indicate relationship,0.6498304605484009
Blogs,0,32,model,relationship,exists for,each pair,relationship exists for each pair,0.7822946310043335
Blogs,0,32,model,model,has,cause relationship,model has cause relationship,0.5528054237365723
Blogs,0,46,model,both sub-tasks,to improve,ecpe,both sub-tasks to improve ecpe,0.72708660364151
Blogs,0,46,model,model,has,both sub-tasks,model has both sub-tasks,0.5616645216941833
