topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
Blogs,0,23,ablation-analysis,rapidly,as,average score,rapidly as average score,0.602495014667511
Blogs,0,23,ablation-analysis,average score,of,summaries,average score of summaries,0.591006338596344
Blogs,0,23,ablation-analysis,proportion of consistent improvement ( f/ n ratio ),has,decrease,proportion of consistent improvement ( f/ n ratio ) has decrease,0.5770311951637268
Blogs,0,23,ablation-analysis,decrease,has,rapidly,decrease has rapidly,0.6083329319953918
Blogs,0,23,ablation-analysis,ablation analysis,show that,proportion of consistent improvement ( f/ n ratio ),ablation analysis show that proportion of consistent improvement ( f/ n ratio ),0.49560993909835815
Blogs,0,40,ablation-analysis,correlations,between,metrics,correlations between metrics,0.6639003157615662
Blogs,0,40,ablation-analysis,correlations,some are,even negative,correlations some are even negative,0.7056106328964233
Blogs,0,40,ablation-analysis,metrics,are,low,metrics are low,0.5828683972358704
Blogs,0,40,ablation-analysis,high-scoring summaries ( t ),has,correlations,high-scoring summaries ( t ) has correlations,0.5568841695785522
Blogs,0,40,ablation-analysis,ablation analysis,in,high-scoring summaries ( t ),ablation analysis in high-scoring summaries ( t ),0.5089846253395081
Blogs,0,19,baselines,consistent improvements,across,metrics,consistent improvements across metrics,0.6977621912956238
Blogs,0,28,baselines,size of longest common subsequence,between,generated summaries and ground- truth,size of longest common subsequence between generated summaries and ground- truth,0.599822461605072
Blogs,0,28,baselines,baselines,has,size of longest common subsequence,baselines has size of longest common subsequence,0.533462643623352
Blogs,0,29,baselines,soft matching,based on,cosine similarity and word embeddings,soft matching based on cosine similarity and word embeddings,0.6063714027404785
Blogs,0,29,baselines,baselines,has,soft matching,baselines has soft matching,0.5517553687095642
Blogs,0,30,baselines,jensen-shannon divergence,to measure,difference,jensen-shannon divergence to measure difference,0.7010664939880371
Blogs,0,30,baselines,difference,between,bigram distributions,difference between bigram distributions,0.6861289143562317
Blogs,0,8,experiments,methodology,to study,evaluation metrics,methodology to study evaluation metrics,0.673504114151001
Blogs,0,8,experiments,evaluation metrics,in,high-scoring range,evaluation metrics in high-scoring range,0.47202563285827637
Blogs,0,33,experiments,generated dataset,consists of,"160,523 summaries","generated dataset consists of 160,523 summaries",0.6790004968643188
Blogs,0,34,experiments,high-scoring summaries,use,lexrank,high-scoring summaries use lexrank,0.6567791104316711
Blogs,0,34,experiments,lexrank,to lter out,summaries,lexrank to lter out summaries,0.7783673405647278
Blogs,0,34,experiments,underperform,has,benchmark,underperform has benchmark,0.6104233860969543
Blogs,0,35,experiments,nal dataset ( t ),of,102 summaries per topic,nal dataset ( t ) of 102 summaries per topic,0.5795137286186218
Blogs,0,35,experiments,nal dataset ( t ),around,102 summaries per topic,nal dataset ( t ) around 102 summaries per topic,0.6260681748390198
Blogs,0,35,experiments,102 summaries per topic,after removing,duplicates and ltering,102 summaries per topic after removing duplicates and ltering,0.7225343585014343
Blogs,0,36,experiments,correlation analysis,has,paradox,correlation analysis has paradox,0.5658090114593506
Blogs,0,14,model,correlation,between,pairs of metrics,correlation between pairs of metrics,0.6778770089149475
Blogs,0,14,model,correlation,in,different scoring ranges,correlation in different scoring ranges,0.5608263611793518
Blogs,0,14,model,pairs of metrics,in,different scoring ranges,pairs of metrics in different scoring ranges,0.50902259349823
Blogs,0,14,model,model,computes,correlation,model computes correlation,0.7043029069900513
Blogs,0,32,model,genetic algorithm,for,summarisation,genetic algorithm for summarisation,0.6045575141906738
Blogs,0,32,model,summarisation,to generate,summaries,summarisation to generate summaries,0.6467769145965576
Blogs,0,32,model,summaries,optimise,each metrics,summaries optimise each metrics,0.735546886920929
Blogs,0,32,model,model,use,genetic algorithm,model use genetic algorithm,0.6161379218101501
Blogs,0,6,results,strong disagreement,between,evaluation metrics,strong disagreement between evaluation metrics,0.6239694356918335
Blogs,0,6,results,evaluation metrics,behave,similarly,evaluation metrics behave similarly,0.7177147269248962
Blogs,0,9,results,more human annotations,in,appropriate scoring range,more human annotations in appropriate scoring range,0.4714323580265045
Blogs,0,12,results,score distribution,of,ground - truth summaries,score distribution of ground - truth summaries,0.5346671342849731
Blogs,0,12,results,score distribution,of,generated summaries,score distribution of generated summaries,0.5793629884719849
Blogs,0,12,results,generated summaries,by,modern summarisation systems,generated summaries by modern summarisation systems,0.5400832891464233
Blogs,0,13,results,evaluation metrics,behave similar to,human evaluation,evaluation metrics behave similar to human evaluation,0.5520261526107788
Blogs,0,13,results,human evaluation,in,red distribution ( high -scoring range ),human evaluation in red distribution ( high -scoring range ),0.49280840158462524
Blogs,0,17,results,results,has,bigram overlap between generated summaries and ground- truth,results has bigram overlap between generated summaries and ground- truth,0.5302668809890747
Blogs,0,18,results,results,has,measuring consistent improvements across metrics,results has measuring consistent improvements across metrics,0.5654332637786865
Blogs,0,21,results,summaries,better than,s,summaries better than s,0.6983789801597595
Blogs,0,21,results,s,for,one metric,s for one metric,0.6222639083862305
Blogs,0,21,results,results,Among,summaries,results Among summaries,0.5931007266044617
Blogs,0,22,results,summaries,better than,s,summaries better than s,0.6983789801597595
Blogs,0,22,results,s,for,all metrics,s for all metrics,0.6518640518188477
Blogs,0,22,results,results,Among,summaries,results Among summaries,0.5931007266044617
Blogs,0,25,results,f,divide by,n,f divide by n,0.5974829196929932
Blogs,0,25,results,n,to obtain,ratio,n to obtain ratio,0.6054570078849792
Blogs,0,25,results,results,has,f,results has f,0.5239986181259155
Blogs,0,37,results,high correlation,between,evaluation metrics,high correlation between evaluation metrics,0.6148824691772461
Blogs,0,37,results,r - 2 and js - 2,having,strongest correlation,r - 2 and js - 2 having strongest correlation,0.6492125391960144
Blogs,0,37,results,results,for,dataset a and w,results for dataset a and w,0.5997369885444641
Blogs,0,41,results,no global agreement,between,metrics,no global agreement between metrics,0.6336264610290527
Blogs,0,41,results,metrics,to measure,improvements,metrics to measure improvements,0.6991312503814697
Blogs,0,41,results,improvements,examine,summaries,improvements examine summaries,0.7297618985176086
Blogs,0,41,results,summaries,better than,lexrank,summaries better than lexrank,0.7153552174568176
Blogs,0,42,results,increases,with,higher - scoring summaries,increases with higher - scoring summaries,0.6372816562652588
Blogs,0,42,results,disagreement,has,increases,disagreement has increases,0.6166732907295227
Blogs,0,44,results,our current evaluation metrics,good at distinguishing,very bad summaries,our current evaluation metrics good at distinguishing very bad summaries,0.7361053228378296
Blogs,0,44,results,very bad summaries,from,very good summaries,very bad summaries from very good summaries,0.4965316951274872
Blogs,0,44,results,results,tell us that,our current evaluation metrics,results tell us that our current evaluation metrics,0.5665798783302307
Blogs,1,11,ablation-analysis,position bias,is,very strong,position bias is very strong,0.5652182102203369
Blogs,1,11,ablation-analysis,position bias,remains,most effective approach,position bias remains most effective approach,0.6388054490089417
Blogs,1,11,ablation-analysis,very strong,in,news,very strong in news,0.491252064704895
Blogs,1,11,ablation-analysis,most effective approach,in selecting,positive information,most effective approach in selecting positive information,0.6454001069068909
Blogs,1,11,ablation-analysis,ablation analysis,shows us that,position bias,ablation analysis shows us that position bias,0.5854781866073608
Blogs,1,14,baselines,position - agnostic graphs,extended,lexrank,position - agnostic graphs extended lexrank,0.6172033548355103
Blogs,1,14,baselines,lexrank,using,sbert ( slr ),lexrank using sbert ( slr ),0.6986710429191589
Blogs,1,14,baselines,sbert ( slr ),to measure,cosine similarity,sbert ( slr ) to measure cosine similarity,0.656398594379425
Blogs,1,15,baselines,af nity propagation clustering algorithm ( sc ),which,center,af nity propagation clustering algorithm ( sc ) which center,0.6328568458557129
Blogs,1,15,baselines,af nity propagation clustering algorithm ( sc ),clusters,sentences,af nity propagation clustering algorithm ( sc ) clusters sentences,0.7402023077011108
Blogs,1,15,baselines,cluster,selected to build,pseudo reference,cluster selected to build pseudo reference,0.7383319735527039
Blogs,1,17,baselines,slr and sc,have,two variations,slr and sc have two variations,0.571328341960907
Blogs,1,23,baselines,tc,Label,top n sentences,tc Label top n sentences,0.7215197086334229
Blogs,1,23,baselines,top n sentences,from,each document,top n sentences from each document,0.5300644040107727
Blogs,1,23,baselines,top n sentences,as,salient,top n sentences as salient,0.5214198231697083
Blogs,1,25,baselines,new unsupervised evaluation metric,to guide,training,new unsupervised evaluation metric to guide training,0.6619755029678345
Blogs,1,25,baselines,training,of,rl - based multidocument summariser,training of rl - based multidocument summariser,0.5173420310020447
Blogs,1,27,baselines,supert,selects,top 10 - 15 sentences,supert selects top 10 - 15 sentences,0.6883164644241333
Blogs,1,27,baselines,supert,uses,sbert,supert uses sbert,0.590796172618866
Blogs,1,27,baselines,top 10 - 15 sentences,from,each source document,top 10 - 15 sentences from each source document,0.5370620489120483
Blogs,1,27,baselines,each source document,as,pseudo references,each source document as pseudo references,0.5100564956665039
Blogs,1,27,baselines,sbert,to measure,semantic similarity,sbert to measure semantic similarity,0.6780535578727722
Blogs,1,27,baselines,semantic similarity,between,summaries and pseudo references,semantic similarity between summaries and pseudo references,0.6116287708282471
Blogs,1,27,baselines,baselines,has,supert,baselines has supert,0.6091812252998352
Blogs,1,21,experiments,pacsum,selects,sentences,pacsum selects sentences,0.7508254647254944
Blogs,1,21,experiments,sentences,that are,semantically central,sentences that are semantically central,0.6171478629112244
Blogs,1,21,experiments,high average similarity,with,succeeding sentences,high average similarity with succeeding sentences,0.6401255130767822
Blogs,1,21,experiments,low average similarity,with,preceding sentences,low average similarity with preceding sentences,0.6225818395614624
Blogs,1,21,experiments,semantically central,has,meaning,semantically central has meaning,0.6204291582107544
Blogs,1,21,experiments,meaning,has,high average similarity,meaning has high average similarity,0.6081122159957886
Blogs,1,5,model,pseudo reference summary,generated by selecting,salient sentences,pseudo reference summary generated by selecting salient sentences,0.7227113246917725
Blogs,1,5,model,salient sentences,from,source documents,salient sentences from source documents,0.4908202290534973
Blogs,1,5,model,salient sentences,using,contextualised embeddings,salient sentences using contextualised embeddings,0.619194507598877
Blogs,1,5,model,salient sentences,using,soft token alignment,salient sentences using soft token alignment,0.6475614309310913
Blogs,1,5,model,model,has,pseudo reference summary,model has pseudo reference summary,0.554490327835083
Blogs,1,13,model,two graph- based approach,to building,pseudo references,two graph- based approach to building pseudo references,0.6238071918487549
Blogs,1,13,model,model,explored,two graph- based approach,model explored two graph- based approach,0.7275846600532532
Blogs,1,16,model,clustering algorithm,preset,number of clusters,clustering algorithm preset number of clusters,0.6390683054924011
Blogs,1,16,model,model,has,clustering algorithm,model has clustering algorithm,0.5945653319358826
Blogs,1,18,model,individual graph,builds,graph,individual graph builds graph,0.6937177181243896
Blogs,1,18,model,individual graph,selects,top k sentences,individual graph selects top k sentences,0.665132462978363
Blogs,1,18,model,graph,for,each source document,graph for each source document,0.6206992268562317
Blogs,1,18,model,model,has,individual graph,model has individual graph,0.5477928519248962
Blogs,1,19,model,global graph,builds,graph,global graph builds graph,0.6869493722915649
Blogs,1,19,model,global graph,selects,top m sentences,global graph selects top m sentences,0.7009866833686829
Blogs,1,19,model,graph,using,all the sentences,graph using all the sentences,0.6932075023651123
Blogs,1,19,model,all the sentences,from,all the source documents,all the sentences from all the source documents,0.5338843464851379
Blogs,1,19,model,all the source documents,of,same topic,all the source documents of same topic,0.5480690002441406
Blogs,1,19,model,model,has,global graph,model has global graph,0.5641012191772461
