topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
translation,0,127,ablation-analysis,improvement,remove,25 %,improvement remove 25 %,0.7024867534637451
translation,0,127,ablation-analysis,decreases,remove,25 %,decreases remove 25 %,0.7849303483963013
translation,0,127,ablation-analysis,25 %,of,full pool,25 % of full pool,0.6321275234222412
translation,0,127,ablation-analysis,degrades,remove,only 10 %,degrades remove only 10 %,0.7644282579421997
translation,0,127,ablation-analysis,improvement,has,decreases,improvement has decreases,0.6322592496871948
translation,0,127,ablation-analysis,ablation analysis,has,improvement,ablation analysis has improvement,0.5466791987419128
translation,0,153,experimental-setup,logistic regression,base,pytorch implementation,logistic regression base pytorch implementation,0.7682408094406128
translation,0,153,experimental-setup,pytorch implementation,on,broadly used scikit-learn,pytorch implementation on broadly used scikit-learn,0.4744423031806946
translation,0,153,experimental-setup,default parameters,including,l2 weight decay,default parameters including l2 weight decay,0.6259289383888245
translation,0,153,experimental-setup,experimental setup,When implementing,logistic regression,experimental setup When implementing logistic regression,0.6564841270446777
translation,0,154,experimental-setup,our models,via,stochastic gradient descent,our models via stochastic gradient descent,0.6431313157081604
translation,0,154,experimental-setup,experimental setup,optimize,our models,experimental setup optimize our models,0.6880456805229187
translation,0,164,experimental-setup,deep bayesian active learning methods,estimate,dropout distribution,deep bayesian active learning methods estimate dropout distribution,0.5838721394538879
translation,0,164,experimental-setup,dropout distribution,via,test-time dropout,dropout distribution via test-time dropout,0.6585331559181213
translation,0,164,experimental-setup,multiple forward passes,through,our neural networks,multiple forward passes through our neural networks,0.6447839140892029
translation,0,164,experimental-setup,our neural networks,with,"different , randomly sampled dropout masks","our neural networks with different , randomly sampled dropout masks",0.6122679710388184
translation,0,164,experimental-setup,experimental setup,estimate,dropout distribution,experimental setup estimate dropout distribution,0.6103640794754028
translation,0,97,experiments,active learning performance,fails to outperform,random acquisition,active learning performance fails to outperform random acquisition,0.7367376685142517
translation,0,97,experiments,vqa - sports,has,active learning performance,vqa - sports has active learning performance,0.5424233078956604
translation,0,97,experiments,active learning performance,has,varies,active learning performance has varies,0.5799300670623779
translation,0,14,results,common active learning ailments,has,cold starts,common active learning ailments has cold starts,0.5619373917579651
translation,0,14,results,results,has,negative results,results has negative results,0.5896515250205994
translation,0,15,results,cold start challenge,of needing,representative initial dataset,cold start challenge of needing representative initial dataset,0.6967136859893799
translation,0,15,results,representative initial dataset,by varying,size,representative initial dataset by varying size,0.7260972857475281
translation,0,15,results,size,of,seed set,size of seed set,0.6102426648139954
translation,0,15,results,results,mitigate,cold start challenge,results mitigate cold start challenge,0.6464892625808716
translation,0,95,results,least - confidence,appears to be,slightly more sample efficient,least - confidence appears to be slightly more sample efficient,0.6733602285385132
translation,0,95,results,lstm - cnn,has,least - confidence,lstm - cnn has least - confidence,0.571808397769928
translation,0,95,results,results,For,lstm - cnn,results For lstm - cnn,0.5659276843070984
translation,0,96,results,butd,for,lxmert,butd for lxmert,0.7185090780258179
translation,0,96,results,all methods,on par with,random,all methods on par with random,0.6856732964515686
translation,0,96,results,all methods,on par with,random,all methods on par with random,0.6856732964515686
translation,0,96,results,all methods,for,lxmert,all methods for lxmert,0.671073317527771
translation,0,96,results,lxmert,perform,worse,lxmert perform worse,0.7046026587486267
translation,0,96,results,worse,than,random,worse than random,0.6788857579231262
translation,0,96,results,butd,has,all methods,butd has all methods,0.6111549139022827
translation,0,96,results,results,For,butd,results For butd,0.6718477010726929
translation,0,103,results,active learning,performs,on par,active learning performs on par,0.5802971124649048
translation,0,103,results,on par,with or slightly worse,random,on par with or slightly worse random,0.637407124042511
translation,0,103,results,vqa - 2,has,active learning,vqa - 2 has active learning,0.6157441139221191
translation,0,126,results,2 - 3x improvement,in,sample efficiency,2 - 3x improvement in sample efficiency,0.5258573889732361
translation,0,126,results,sample efficiency,when removing,50 %,sample efficiency when removing 50 %,0.7305634021759033
translation,0,126,results,50 %,has,of the entire data pool,50 % has of the entire data pool,0.5701173543930054
translation,0,126,results,results,observe,2 - 3x improvement,results observe 2 - 3x improvement,0.6546734571456909
translation,0,180,results,active learning,for,lo-greg ( resnet - 101 ) model,active learning for lo-greg ( resnet - 101 ) model,0.6002334356307983
translation,0,180,results,lo-greg ( resnet - 101 ) model,on,vqa - sports,lo-greg ( resnet - 101 ) model on vqa - sports,0.5712674856185913
translation,0,180,results,lo-greg ( resnet - 101 ) model,on,vqa - 2,lo-greg ( resnet - 101 ) model on vqa - 2,0.5681623220443726
translation,0,181,results,active learning,has,failing to outperform,active learning has failing to outperform,0.5731949210166931
translation,0,181,results,failing to outperform,has,random acqusition,failing to outperform has random acqusition,0.6238912343978882
translation,1,136,baselines,aqad,use,electra - base,aqad use electra - base,0.6324357390403748
translation,1,136,baselines,electra - base,trained using,"tanda ( garg et al. , 2020 )","electra - base trained using tanda ( garg et al. , 2020 )",0.69712895154953
translation,1,136,baselines,initial transfer,on,asnq,initial transfer on asnq,0.6041469573974609
translation,1,136,baselines,asnq,as,m,asnq as m,0.7270285487174988
translation,1,137,baselines,question filter f,use,"two different transformer based models ( roberta - base , large )","question filter f use two different transformer based models ( roberta - base , large )",0.6320657730102539
translation,1,137,baselines,"two different transformer based models ( roberta - base , large )",for,datasets,"two different transformer based models ( roberta - base , large ) for datasets",0.6014499664306641
translation,1,118,experiments,as2 dataset,with,questions,as2 dataset with questions,0.6745961904525757
translation,1,118,experiments,questions,from,bing search logs,questions from bing search logs,0.5470215082168579
translation,1,118,experiments,answer candidates,from,wikipedia,answer candidates from wikipedia,0.6079150438308716
translation,1,118,experiments,wikiqa,has,as2 dataset,wikiqa has as2 dataset,0.5936561226844788
translation,1,7,model,transformer - based question models,by distilling,transformer - based answering models,transformer - based question models by distilling transformer - based answering models,0.6580499410629272
translation,1,7,model,model,learn,transformer - based question models,model learn transformer - based question models,0.626778244972229
translation,1,20,model,questions,by means of,question filtering model,questions by means of question filtering model,0.6283829808235168
translation,1,20,model,improving,has,qa system efficiency,improving has qa system efficiency,0.549824059009552
translation,1,34,model,two loss objectives,for training,two variants,two loss objectives for training two variants,0.7080938816070557
translation,1,34,model,two variants,of,question filter,two variants of question filter,0.612149715423584
translation,1,34,model,model,propose,two loss objectives,model propose two loss objectives,0.6845842599868774
translation,1,141,model,first,captures,well -formedness and intelligibility,first captures well -formedness and intelligibility,0.6381831169128418
translation,1,141,model,well -formedness and intelligibility,of,questions,well -formedness and intelligibility of questions,0.5480859279632568
translation,1,141,model,questions,from,human perspective,questions from human perspective,0.58881014585495
translation,1,141,model,model,captures,well -formedness and intelligibility,model captures well -formedness and intelligibility,0.7220563292503357
translation,1,141,model,model,has,first,model has first,0.6180936098098755
translation,1,5,results,answer confidence scores,of,state - of - the - art qa systems,answer confidence scores of state - of - the - art qa systems,0.5612978935241699
translation,1,5,results,answer confidence scores,approximated,well,answer confidence scores approximated well,0.7750150561332703
translation,1,5,results,well,by,models,well by models,0.65086829662323
translation,1,5,results,models,solely using,input question text,models solely using input question text,0.6906248927116394
translation,1,175,results,our question filters,with,classification and regression heads,our question filters with classification and regression heads,0.6789036989212036
translation,1,175,results,our question filters,impart,filtering efficiency gains,our question filters impart filtering efficiency gains,0.6834337115287781
translation,1,175,results,filtering efficiency gains,of,different proportions,filtering efficiency gains of different proportions,0.6103096008300781
translation,1,175,results,small drop,in,recall,small drop in recall,0.5826725959777832
translation,1,175,results,results,observe,our question filters,results observe our question filters,0.6592422127723694
translation,1,178,results,some cases,at,higher thresholds,some cases at higher thresholds,0.5653879642486572
translation,1,178,results,f m,achieves,comparable filtering performance,f m achieves comparable filtering performance,0.6962563991546631
