topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
translation,0,26,ablation-analysis,large dataset,by extending,"ms - marco ( nguyen et al. , 2016 ) and natural question ( kwiatkowski et al. , 2019 ) datasets","large dataset by extending ms - marco ( nguyen et al. , 2016 ) and natural question ( kwiatkowski et al. , 2019 ) datasets",0.7025793790817261
translation,0,26,ablation-analysis,"ms - marco ( nguyen et al. , 2016 ) and natural question ( kwiatkowski et al. , 2019 ) datasets",to account for,multimodal outputs,"ms - marco ( nguyen et al. , 2016 ) and natural question ( kwiatkowski et al. , 2019 ) datasets to account for multimodal outputs",0.6357976198196411
translation,0,26,ablation-analysis,ablation analysis,curate,large dataset,ablation analysis curate large dataset,0.7459626197814941
translation,0,117,baselines,e&m baseline,pretrain,text extraction,e&m baseline pretrain text extraction,0.7289901375770569
translation,0,117,baselines,text extraction,with,squad dataset,text extraction with squad dataset,0.5918264985084534
translation,0,122,experiments,mexbert,use,adam optimizer,mexbert use adam optimizer,0.6190097332000732
translation,0,122,experiments,mexbert,train it till,validation loss,mexbert train it till validation loss,0.6525813937187195
translation,0,122,experiments,adam optimizer,initialized with,learning rate,adam optimizer initialized with learning rate,0.7295401692390442
translation,0,122,experiments,adam optimizer,train it till,validation loss,adam optimizer train it till validation loss,0.635117769241333
translation,0,122,experiments,learning rate,of,0.0001,learning rate of 0.0001,0.5900294780731201
translation,0,122,experiments,validation loss,has,saturates,validation loss has saturates,0.592502236366272
translation,0,121,hyperparameters,bert pretrained embeddings,for,textual stream,bert pretrained embeddings for textual stream,0.5805532336235046
translation,0,121,hyperparameters,textual stream,of,mexbert,textual stream of mexbert,0.5891968607902527
translation,0,121,hyperparameters,hyperparameters,use,bert pretrained embeddings,hyperparameters use bert pretrained embeddings,0.5638443827629089
translation,0,121,hyperparameters,hyperparameters,use,n ta = n t b = n v = 6,hyperparameters use n ta = n t b = n v = 6,0.626608669757843
translation,0,123,hyperparameters,model,trained over,4 v100 machines,model trained over 4 v100 machines,0.7730672359466553
