topic,paper_ID,sentence_ID,info-unit,sub,pred,obj
translation,0,160,hyperparameters,number of hidden units,in,BiLSTM
translation,0,160,hyperparameters,number of hidden units,is,256
translation,0,160,hyperparameters,BiLSTM,is,256
translation,0,160,hyperparameters,number of layers,in,BiL-STM
translation,0,160,hyperparameters,BiL-STM,is,2
translation,0,160,hyperparameters,word embedding dimension,is,200
translation,0,160,hyperparameters,number of hidden units,in,MLP
translation,0,160,hyperparameters,MLP,is,100
translation,0,161,hyperparameters,Adam optimizer,with,epsilon 0.01
translation,0,161,hyperparameters,fixed learning rate,has,0.001
translation,0,162,hyperparameters,converges,within,4 epochs
translation,0,162,hyperparameters,Hyperparameters,has,Training
translation,0,5,model,"scene graph representation ( Johnson et al. , 2015 )",considers,objects
translation,0,5,model,Model,consider,"scene graph representation ( Johnson et al. , 2015 )"
translation,0,6,model,alternative but equivalent edgecentric view,of,scene graphs
translation,0,6,model,Model,introducing,alternative but equivalent edgecentric view
translation,0,7,model,two -stage pipeline,into,one
translation,0,7,model,generic dependency parsing,followed by,simple post-processing
translation,0,7,model,one,enabling,end-toend training
translation,0,7,model,Model,combine,two -stage pipeline
translation,0,33,model,our model,on top of,neural depen-dency parser implementation
translation,0,33,model,Model,build,our model
translation,0,34,results,carefully customized dependency parser,able to generate,high quality scene graphs
translation,0,34,results,high quality scene graphs,by learning from,data
translation,0,34,results,Results,show,carefully customized dependency parser
translation,0,171,results,customized dependency parsing model,achieves,average F-score
translation,0,171,results,average F-score,of,49.67 %
translation,0,171,results,significantly outperforms,by,5 percent
translation,0,171,results,parser,used in,SPICE
translation,0,171,results,parser,by,5 percent
translation,0,171,results,significantly outperforms,has,parser
translation,0,171,results,Results,see that,customized dependency parsing model
translation,0,181,results,relatively high,at,69.85 %
translation,0,181,results,Results,has,F-score
translation,0,196,results,Our parser,delivers,better retrieval performance
translation,0,196,results,better retrieval performance,across,three evaluation metrics
translation,0,196,results,Results,has,Our parser
translation,1,102,ablation-analysis,ablation,of,stack - Transformer components
translation,1,102,ablation-analysis,stack / buffer positions,seems clearly,detrimental
translation,1,102,ablation-analysis,detrimental,in,all scenarios
translation,1,102,ablation-analysis,Ablation analysis,Regarding,ablation
translation,1,102,ablation-analysis,Ablation analysis,Regarding,stack - Transformer components
translation,1,102,ablation-analysis,Ablation analysis,of,stack - Transformer components
translation,1,108,ablation-analysis,Modeling of the buffer,seems,more important
translation,1,108,ablation-analysis,more important,than,modeling of the stack
translation,1,108,ablation-analysis,Ablation analysis,has,Modeling of the buffer
translation,1,79,experimental-setup,minor modifications,over,MT model hyper-parameters
translation,1,79,experimental-setup,Experimental setup,implemented on,fairseq toolkit
translation,1,80,experimental-setup,crossentropy training,with,learning rate
translation,1,80,experimental-setup,crossentropy training,with,inverse square root scheduling
translation,1,80,experimental-setup,inverse square root scheduling,with,min
translation,1,80,experimental-setup,learning rate,has,5e ?4
translation,1,80,experimental-setup,Experimental setup,used,crossentropy training
translation,1,80,experimental-setup,Experimental setup,used,inverse square root scheduling
translation,1,81,experimental-setup,4000 warmup updates,with,learning rate 1e ?7
translation,1,81,experimental-setup,4000 warmup updates,maximum,3584 tokens per batch
translation,1,81,experimental-setup,1e ?9,has,4000 warmup updates
translation,1,81,experimental-setup,Experimental setup,has,1e ?9
translation,1,81,experimental-setup,Experimental setup,has,4000 warmup updates
translation,1,82,experimental-setup,label smoothing,reduced to,0.01 3
translation,1,82,experimental-setup,Adam parameters,has,0.9 and 0.98
translation,1,82,experimental-setup,Adam parameters,has,label smoothing
translation,1,82,experimental-setup,Experimental setup,has,Adam parameters
translation,1,85,experimental-setup,"RoBERTa - base ( Liu et al. , 2019 ) embeddings",without,fine-tuning
translation,1,85,experimental-setup,"RoBERTa - base ( Liu et al. , 2019 ) embeddings",averaging,wordpieces
translation,1,85,experimental-setup,wordpieces,to obtain,word representations
translation,1,85,experimental-setup,Experimental setup,used,"RoBERTa - base ( Liu et al. , 2019 ) embeddings"
translation,1,86,experimental-setup,Weight averaging,of,best 3 checkpoints
translation,1,86,experimental-setup,Experimental setup,has,Weight averaging
translation,1,88,experimental-setup,Models,trained for,fixed number of epochs
translation,1,88,experimental-setup,Models,selecting,best model
translation,1,88,experimental-setup,on validation,by,LAS or Smatch
translation,1,88,experimental-setup,best model,has,on validation
translation,1,88,experimental-setup,Experimental setup,trained for,fixed number of epochs
translation,1,88,experimental-setup,Experimental setup,has,Models
translation,1,91,experimental-setup,Training,took,at most 6h
translation,1,91,experimental-setup,at most 6h,on,Nvidia Tesla v100 GPU
translation,1,91,experimental-setup,Experimental setup,has,Training
translation,1,16,model,state modeling,in the context of,sequence- to-sequence Transformers
translation,1,16,model,action prediction,for,transition - based parsing
translation,1,16,model,Model,local versus global paradigms of,state modeling
translation,1,17,model,cross-attention mechanism,of,Transformer
translation,1,17,model,cross-attention mechanism,to provide,global parser state modeling
translation,1,128,model,sequence-tosequence Transformers,to encode,parser state
translation,1,128,model,parser state,for,transition - based parsing
translation,1,128,model,Model,modifications of,sequence-tosequence Transformers
translation,1,20,results,particularly large,for,smaller train sets and smaller model sizes
translation,1,20,results,Results,has,Gains
translation,1,97,results,stack - transformer,provides,around 2 points improvement
translation,1,97,results,stack - transformer,provides,0.5 points
translation,1,97,results,around 2 points improvement,against,Transformer
translation,1,97,results,Transformer,on,PTB and AMR2.0
translation,1,97,results,improvement,against,multi-task version ( a - c )
translation,1,97,results,LAS and Smatch,has,stack - transformer
translation,1,97,results,0.5 points,has,improvement
translation,1,97,results,Results,Comparing,LAS and Smatch
translation,1,107,results,most methods,perform,similarly
translation,1,107,results,different attention modifications ( e- h ),has,most methods
