topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
Blogs,0,23,ablation-analysis,hyper-parameters,discovered that,more powerful decoder,hyper-parameters discovered that more powerful decoder,0.7091808319091797
Blogs,0,23,ablation-analysis,more powerful decoder,key to,higher conversational quality,more powerful decoder key to higher conversational quality,0.5927244424819946
Blogs,0,23,ablation-analysis,ablation analysis,tuning,hyper-parameters,ablation analysis tuning hyper-parameters,0.8209232687950134
Blogs,0,59,ablation-analysis,tuned decoding,advances,ssa score,tuned decoding advances ssa score,0.6938040852546692
Blogs,0,59,ablation-analysis,ssa score,to,79 %,ssa score to 79 %,0.5260031223297119
Blogs,0,59,ablation-analysis,ablation analysis,has,full version of meena,ablation analysis has full version of meena,0.5505108833312988
Blogs,0,63,ablation-analysis,ablation analysis,has,tackling safety and bias in the models,ablation analysis has tackling safety and bias in the models,0.5478108525276184
Blogs,0,7,experiments,chat,between,meena,chat between meena,0.7116539478302002
Blogs,0,7,experiments,chat,between,a person,chat between a person,0.6925920248031616
Blogs,0,31,experiments,ssa,crowd-sourced,free-form conversation,ssa crowd-sourced free-form conversation,0.6908674836158752
Blogs,0,31,experiments,free-form conversation,with,chatbots being tested,free-form conversation with chatbots being tested,0.6398287415504456
Blogs,0,33,experiments,crowd workers,answer,two questions,crowd workers answer two questions,0.6848776340484619
Blogs,0,33,experiments,each utterance,has,crowd workers,each utterance has crowd workers,0.5643072724342346
Blogs,0,33,experiments,does it,has,make sense ?,does it has make sense ?,0.5743097066879272
Blogs,0,34,experiments,evaluator,asked to use,common sense,evaluator asked to use common sense,0.6598368287086487
Blogs,0,34,experiments,common sense,to judge,response,common sense to judge response,0.7465378046035767
Blogs,0,34,experiments,response,is,completely reasonable,response is completely reasonable,0.5496406555175781
Blogs,0,34,experiments,completely reasonable,in,context,completely reasonable in context,0.49643605947494507
Blogs,0,37,experiments,responds,'s,nice,responds 's nice,0.6657857298851013
Blogs,0,37,experiments,utterance,should be,marked,utterance should be marked,0.676078736782074
Blogs,0,37,experiments,b,has,responds,b has responds,0.6929689645767212
Blogs,0,40,experiments,each chatbot,collect,1600 and 2400,each chatbot collect 1600 and 2400,0.6779929399490356
Blogs,0,40,experiments,1600 and 2400,individual conversation turns through,100 conversations,1600 and 2400 individual conversation turns through 100 conversations,0.6736752390861511
Blogs,0,50,experiments,perplexity,uncertainty of,language model,perplexity uncertainty of language model,0.6923189759254456
Blogs,0,52,experiments,perplexity,represents,number of choices,perplexity represents number of choices,0.626035749912262
Blogs,0,18,hyperparameters,training objective,minimize,perplexity,training objective minimize perplexity,0.6921626329421997
Blogs,0,18,hyperparameters,hyperparameters,has,training objective,hyperparameters has training objective,0.47379693388938904
Blogs,0,24,hyperparameters,conversations,used for,training,conversations used for training,0.680303156375885
Blogs,0,24,hyperparameters,conversations,organized as,tree threads,conversations organized as tree threads,0.5689900517463684
Blogs,0,24,hyperparameters,tree threads,where,each reply,tree threads where each reply,0.6274846792221069
Blogs,0,24,hyperparameters,hyperparameters,has,conversations,hyperparameters has conversations,0.5436078310012817
Blogs,0,25,hyperparameters,each conversation training example,with,seven turns,each conversation training example with seven turns,0.6335922479629517
Blogs,0,25,hyperparameters,seven turns,of,context,seven turns of context,0.6347611546516418
Blogs,0,25,hyperparameters,seven turns,one path through,tree thread,seven turns one path through tree thread,0.7800024747848511
Blogs,0,25,hyperparameters,hyperparameters,extract,each conversation training example,hyperparameters extract each conversation training example,0.6489863395690918
Blogs,0,26,hyperparameters,seven,as,good balance,seven as good balance,0.5378316640853882
Blogs,0,26,hyperparameters,long enough context,to train,conversational model,long enough context to train conversational model,0.6876857876777649
Blogs,0,26,hyperparameters,tting models,within,memory constraints,tting models within memory constraints,0.6472529768943787
Blogs,0,26,hyperparameters,hyperparameters,choose,seven,hyperparameters choose seven,0.7433598637580872
Blogs,0,27,hyperparameters,meena model,trained on,341 gb of text,meena model trained on 341 gb of text,0.7246482372283936
Blogs,0,27,hyperparameters,341 gb of text,ltered from,public domain social media conversations,341 gb of text ltered from public domain social media conversations,0.7454997301101685
Blogs,0,27,hyperparameters,meena model,has,2.6 billion parameters,meena model has 2.6 billion parameters,0.5449592471122742
Blogs,0,27,hyperparameters,hyperparameters,has,meena model,hyperparameters has meena model,0.5422282218933105
Blogs,0,32,hyperparameters,consistency,between,evaluations,consistency between evaluations,0.6263945698738098
Blogs,0,32,hyperparameters,each conversation,starts with,same greeting,each conversation starts with same greeting,0.704063355922699
Blogs,0,32,hyperparameters,consistency,has,each conversation,consistency has each conversation,0.5995699167251587
Blogs,0,32,hyperparameters,evaluations,has,each conversation,evaluations has each conversation,0.605487048625946
Blogs,0,32,hyperparameters,hyperparameters,to ensure,consistency,hyperparameters to ensure consistency,0.6964260339736938
Blogs,0,41,hyperparameters,model response,labeled by,crowdworkers,model response labeled by crowdworkers,0.7423689961433411
Blogs,0,41,hyperparameters,hyperparameters,has,model response,hyperparameters has model response,0.5010867118835449
Blogs,0,53,hyperparameters,eight different model versions,with,varying hyperparameters and architectures,eight different model versions with varying hyperparameters and architectures,0.5843164920806885
Blogs,0,53,hyperparameters,varying hyperparameters and architectures,such as,number of layers,varying hyperparameters and architectures such as number of layers,0.5567505955696106
Blogs,0,53,hyperparameters,varying hyperparameters and architectures,such as,attention heads,varying hyperparameters and architectures such as attention heads,0.582690954208374
Blogs,0,53,hyperparameters,varying hyperparameters and architectures,such as,total training steps,varying hyperparameters and architectures such as total training steps,0.5715796947479248
Blogs,0,12,model,human-like open-domain chatbot,present,meena,human-like open-domain chatbot present meena,0.6938402652740479
Blogs,0,12,model,human-like open-domain chatbot,present,2.6 billion parameter end-to - end trained neural conversational model,human-like open-domain chatbot present 2.6 billion parameter end-to - end trained neural conversational model,0.6230741143226624
Blogs,0,12,model,meena,has,2.6 billion parameter end-to - end trained neural conversational model,meena has 2.6 billion parameter end-to - end trained neural conversational model,0.5763446688652039
Blogs,0,12,model,model,Towards,human-like open-domain chatbot,model Towards human-like open-domain chatbot,0.6349247097969055
Blogs,0,12,model,model,present,meena,model present meena,0.7561080455780029
Blogs,0,17,model,meena meena,is,neural conversational model,meena meena is neural conversational model,0.5762810707092285
Blogs,0,17,model,meena meena,"end-to-end ,",neural conversational model,"meena meena end-to-end , neural conversational model",0.69176185131073
Blogs,0,17,model,learns to respond sensibly,to,given conversational context,learns to respond sensibly to given conversational context,0.5641990303993225
Blogs,0,17,model,model,has,meena meena,model has meena meena,0.643075168132782
Blogs,0,19,model,transformer architecture,discovered by,evolutionary neural architecture search,transformer architecture discovered by evolutionary neural architecture search,0.6642957925796509
