topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
Blogs,0,16,ablation-analysis,cons,Misses out on,words,cons Misses out on words,0.785237193107605
Blogs,0,16,ablation-analysis,words,not labelled as,oov,words not labelled as oov,0.7164342403411865
Blogs,0,16,ablation-analysis,oov,in,source language,oov in source language,0.4992927610874176
Blogs,0,16,ablation-analysis,ablation analysis,has,cons,ablation analysis has cons,0.5800865292549133
Blogs,0,25,baselines,pros,Faster than,posall model,pros Faster than posall model,0.7905068397521973
Blogs,0,25,baselines,baselines,has,pros,baselines has pros,0.6120114922523499
Blogs,0,13,experiments,oov word,in,target language,oov word in target language,0.5129311680793762
Blogs,0,13,experiments,oov word,aligned with,known word,oov word aligned with known word,0.7188357710838318
Blogs,0,13,experiments,known word,in,source language,known word in source language,0.47539958357810974
Blogs,0,23,experiments,posunk - positional unknown model oov words,in,source language,posunk - positional unknown model oov words in source language,0.4685186743736267
Blogs,0,23,experiments,posunk - positional unknown model oov words,assigned,single unk token,posunk - positional unknown model oov words assigned single unk token,0.6027828454971313
Blogs,0,29,experiments,dataset subset of wmt '14 datasetalignment,computed using,berkeley aligner,dataset subset of wmt '14 datasetalignment computed using berkeley aligner,0.659676730632782
Blogs,0,29,experiments,architecture,from,sequence to sequence learning,architecture from sequence to sequence learning,0.5927600860595703
Blogs,0,29,experiments,sequence to sequence learning,with,neural networks paper,sequence to sequence learning with neural networks paper,0.6546239256858826
Blogs,0,7,hyperparameters,training corpus,with,information,training corpus with information,0.5985103845596313
Blogs,0,7,hyperparameters,information,about,what do,information about what do,0.7111123204231262
Blogs,0,7,hyperparameters,information,about,different oov words ( in the target sentence ),information about different oov words ( in the target sentence ),0.6199257969856262
Blogs,0,7,hyperparameters,different oov words ( in the target sentence ),correspond to in,source sentence,different oov words ( in the target sentence ) correspond to in source sentence,0.6098233461380005
Blogs,0,7,hyperparameters,what do,has,different oov words ( in the target sentence ),what do has different oov words ( in the target sentence ),0.5655842423439026
Blogs,0,7,hyperparameters,hyperparameters,Annotate,training corpus,hyperparameters Annotate training corpus,0.6721385717391968
Blogs,0,17,hyperparameters,oov words,in,source language,oov words in source language,0.46132686734199524
Blogs,0,17,hyperparameters,oov words,assigned,single unk token,oov words assigned single unk token,0.6453840732574463
Blogs,0,17,hyperparameters,hyperparameters,has,posall - positional all model,hyperparameters has posall - positional all model,0.5199056267738342
Blogs,0,18,hyperparameters,all words,in,target sentences,all words in target sentences,0.48736539483070374
Blogs,0,18,hyperparameters,all words,assigned,positional tokens,all words assigned positional tokens,0.6142099499702454
Blogs,0,18,hyperparameters,positional tokens,denote that,jth word,positional tokens denote that jth word,0.15222948789596558
Blogs,0,18,hyperparameters,jth word,in,target sentence,jth word in target sentence,0.5146692395210266
Blogs,0,18,hyperparameters,ith word,in,source sentence,ith word in source sentence,0.5247073173522949
Blogs,0,18,hyperparameters,hyperparameters,has,all words,hyperparameters has all words,0.5464056730270386
Blogs,0,19,hyperparameters,aligned words,that are too far apart,unaligned,aligned words that are too far apart unaligned,0.6433088779449463
Blogs,0,19,hyperparameters,aligned words,assigned,null token,aligned words assigned null token,0.6738707423210144
Blogs,0,19,hyperparameters,unaligned,assigned,null token,unaligned assigned null token,0.6638457179069519
Blogs,0,19,hyperparameters,hyperparameters,has,aligned words,hyperparameters has aligned words,0.5375375151634216
Blogs,0,24,hyperparameters,oov words,in,target sentences,oov words in target sentences,0.4697098433971405
Blogs,0,24,hyperparameters,oov words,assigned,unk token,oov words assigned unk token,0.6498337984085083
Blogs,0,24,hyperparameters,unk token,with,position,unk token with position,0.6361627578735352
Blogs,0,24,hyperparameters,word,in,target language,word in target language,0.5008992552757263
Blogs,0,24,hyperparameters,word,with respect to,aligned source word,word with respect to aligned source word,0.6406921744346619
Blogs,0,24,hyperparameters,hyperparameters,has,oov words,hyperparameters has oov words,0.5491726994514465
Blogs,0,8,model,nmt,track,alignment,nmt track alignment,0.8002227544784546
Blogs,0,8,model,nmt,emits,alignments,nmt emits alignments,0.7653658390045166
Blogs,0,8,model,alignment,of,rare words,alignment of rare words,0.5357768535614014
Blogs,0,8,model,rare words,across,source and target sentences,rare words across source and target sentences,0.6162741184234619
Blogs,0,8,model,alignments,for,test sentences,alignments for test sentences,0.5593752861022949
Blogs,0,8,model,model,has,nmt,model has nmt,0.5953153967857361
Blogs,0,9,model,dictionary,to map,rare words,dictionary to map rare words,0.6500953435897827
Blogs,0,9,model,rare words,from,source language to target language,rare words from source language to target language,0.5486018061637878
Blogs,0,11,model,oov words,in,source sentence,oov words in source sentence,0.47988036274909973
Blogs,0,12,model,each oov word,aligned to,some oov word,each oov word aligned to some oov word,0.7066936492919922
Blogs,0,12,model,some oov word,in,source language,some oov word in source language,0.4760696589946747
Blogs,0,12,model,some oov word,in,source language,some oov word in source language,0.4760696589946747
Blogs,0,12,model,same token,as,word,same token as word,0.5967795252799988
Blogs,0,12,model,word,in,source language,word in source language,0.4902328550815582
Blogs,0,12,model,target language,has,each oov word,target language has each oov word,0.5529950857162476
Blogs,0,12,model,model,In,target language,model In target language,0.49390336871147156
Blogs,0,20,results,pros,Captures,complete alignment,pros Captures complete alignment,0.756661593914032
Blogs,0,20,results,complete alignment,between,source and target sentences,complete alignment between source and target sentences,0.591005802154541
Blogs,0,20,results,results,has,pros,results has pros,0.4505263864994049
Blogs,0,22,results,length,of,target sentences,length of target sentences,0.5532519221305847
Blogs,0,22,results,results,doubles,length,results doubles length,0.6197922825813293
Blogs,0,26,results,cons,Does not capture,alignment,cons Does not capture alignment,0.7574475407600403
Blogs,0,26,results,alignment,for,all words,alignment for all words,0.5921840071678162
Blogs,0,26,results,results,has,cons,results has cons,0.5004299283027649
Blogs,1,3,ablation-analysis,relevant artifacts,in,paper,relevant artifacts in paper,0.5203087329864502
Blogs,1,3,ablation-analysis,ablation analysis,describe and demystify,relevant artifacts,ablation analysis describe and demystify relevant artifacts,0.7147921919822693
Blogs,1,12,ablation-analysis,decoder,accesses,last hidden state,decoder accesses last hidden state,0.7258039116859436
Blogs,1,12,ablation-analysis,last hidden state,lose,relevant information,last hidden state lose relevant information,0.6866310238838196
Blogs,1,12,ablation-analysis,relevant information,about,first elements of the sequence,relevant information about first elements of the sequence,0.6030790209770203
Blogs,1,12,ablation-analysis,last hidden state,has,of the decoder,last hidden state has of the decoder,0.5771781802177429
Blogs,1,12,ablation-analysis,ablation analysis,if,decoder,ablation analysis if decoder,0.6263576149940491
Blogs,1,52,baselines,baselines,has,scaled dot-product attention formula,baselines has scaled dot-product attention formula,0.5481886863708496
Blogs,1,71,baselines,position embedding,coding,every known position,position embedding coding every known position,0.779130756855011
Blogs,1,71,baselines,every known position,with,vector,every known position with vector,0.6599734425544739
Blogs,1,101,baselines,same residual dropout,executed in,encoder,same residual dropout executed in encoder,0.7301998734474182
Blogs,1,33,hyperparameters,hyperparameters,has,vectors,hyperparameters has vectors,0.5348069071769714
Blogs,1,42,hyperparameters,input,consists of,queries and keys,input consists of queries and keys,0.6342929005622864
Blogs,1,42,hyperparameters,input,consists of,values,input consists of values,0.640492856502533
Blogs,1,42,hyperparameters,values,of,dimension dv,values of dimension dv,0.568855345249176
Blogs,1,42,hyperparameters,queries and keys,has,of dimension dk,queries and keys has of dimension dk,0.6150220632553101
Blogs,1,42,hyperparameters,hyperparameters,has,input,hyperparameters has input,0.4997154176235199
Blogs,1,50,hyperparameters,softmaxing,multiply by,value matrix,softmaxing multiply by value matrix,0.5977227687835693
Blogs,1,50,hyperparameters,value matrix,to keep,values,value matrix to keep values,0.5827018022537231
Blogs,1,50,hyperparameters,values,of,words,values of words,0.6139428615570068
Blogs,1,50,hyperparameters,values,for,irrelevant words,values for irrelevant words,0.6326054334640503
Blogs,1,50,hyperparameters,values,for,irrelevant words,values for irrelevant words,0.6326054334640503
Blogs,1,50,hyperparameters,hyperparameters,After,softmaxing,hyperparameters After softmaxing,0.6513674259185791
Blogs,1,66,hyperparameters,positional encodings,have,same dimension,positional encodings have same dimension,0.5689814686775208
Blogs,1,66,hyperparameters,same dimension,as,embeddings,same dimension as embeddings,0.59543776512146
Blogs,1,66,hyperparameters,hyperparameters,has,positional encodings,hyperparameters has positional encodings,0.5430561304092407
Blogs,1,78,hyperparameters,embedding layers,multiply,weights,embedding layers multiply weights,0.7195728421211243
Blogs,1,78,hyperparameters,weights,by,square root,weights by square root,0.6189128756523132
Blogs,1,78,hyperparameters,square root,of,model dimension,square root of model dimension,0.6297951936721802
Blogs,1,78,hyperparameters,hyperparameters,In,embedding layers,hyperparameters In embedding layers,0.44566336274147034
Blogs,1,83,hyperparameters,dropout,to,sums of the embeddings and the positional encodings,dropout to sums of the embeddings and the positional encodings,0.5629639029502869
Blogs,1,83,hyperparameters,dropout,in,both the encoder and decoder stacks,dropout in both the encoder and decoder stacks,0.5811875462532043
Blogs,1,83,hyperparameters,sums of the embeddings and the positional encodings,in,both the encoder and decoder stacks,sums of the embeddings and the positional encodings in both the encoder and decoder stacks,0.5373272895812988
