topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
Blogs,0,31,ablation-analysis,word vectors,helps with,performance,word vectors helps with performance,0.6572704315185547
Blogs,0,31,ablation-analysis,ablation analysis,Fine tuning,word vectors,ablation analysis Fine tuning word vectors,0.7669583559036255
Blogs,0,15,baselines,baseline,Includes,models,baseline Includes models,0.6590501666069031
Blogs,0,15,baselines,baseline,Includes,image or question features,baseline Includes image or question features,0.6302956342697144
Blogs,0,15,baselines,baseline,Includes,image features,baseline Includes image features,0.655623733997345
Blogs,0,15,baselines,models,where,answer,models where answer,0.6823186874389648
Blogs,0,15,baselines,answer,is,guessed,answer is guessed,0.6220376491546631
Blogs,0,15,baselines,image features,along with,prior knowledge,image features along with prior knowledge,0.6023657917976379
Blogs,0,15,baselines,prior knowledge,of,object,prior knowledge of object,0.5511146783828735
Blogs,0,15,baselines,baselines,has,baseline,baselines has baseline,0.6124745607376099
Blogs,0,16,baselines,knn model,where,system,knn model where system,0.6624546051025391
Blogs,0,16,baselines,system,nds,"nearest ( image , question ) pair","system nds nearest ( image , question ) pair",0.6583433151245117
Blogs,0,27,baselines,baselines,has,vis +lstm,baselines has vis +lstm,0.5347738265991211
Blogs,0,28,baselines,bidirectional lstm img + bow,without dimensionality reduction,bag of words ( averaging word vectors,bidirectional lstm img + bow without dimensionality reduction bag of words ( averaging word vectors,0.7611251473426819
Blogs,0,28,baselines,multinomial logistic regression,on,image features,multinomial logistic regression on image features,0.5359888672828674
Blogs,0,28,baselines,image features,has,twice,image features has twice,0.5876720547676086
Blogs,0,28,baselines,image features,has,in beginning and in the end,image features has in beginning and in the end,0.5900895595550537
Blogs,0,28,baselines,bidirectional lstm img + bow,has,multinomial logistic regression,bidirectional lstm img + bow has multinomial logistic regression,0.5655922889709473
Blogs,0,29,baselines,baselines,has,full - simple average of above 2 models,baselines has full - simple average of above 2 models,0.5589770674705505
Blogs,0,12,experiments,object questions,has,number questions,object questions has number questions,0.5923924446105957
Blogs,0,13,experiments,~ 120 k questions,across,4 semantic types,~ 120 k questions across 4 semantic types,0.6776542663574219
Blogs,0,25,experiments,question ansering,on,real-world images,question ansering on real-world images,0.6039011478424072
Blogs,0,25,experiments,question ansering,has,images,question ansering has images,0.6235146522521973
Blogs,0,25,experiments,real-world images,has,images,real-world images has images,0.5533527731895447
Blogs,0,7,hyperparameters,answer,assumed to be,single word,answer assumed to be single word,0.540966808795929
Blogs,0,7,hyperparameters,single word,bypassing,evaluation issues,single word bypassing evaluation issues,0.7076125741004944
Blogs,0,7,hyperparameters,evaluation issues,of,multi-word,evaluation issues of multi-word,0.5858732461929321
Blogs,0,7,hyperparameters,hyperparameters,has,answer,hyperparameters has answer,0.5684177875518799
Blogs,0,22,hyperparameters,vgg net embeddings,of,image,vgg net embeddings of image,0.5466228127479553
Blogs,0,22,hyperparameters,linear transformation,to match,dimensions,linear transformation to match dimensions,0.7629368305206299
Blogs,0,22,hyperparameters,dimensionality reduction weight matrix ),to match,dimensions,dimensionality reduction weight matrix ) to match dimensions,0.6908577084541321
Blogs,0,22,hyperparameters,dimensions,of,word embeddings,dimensions of word embeddings,0.49344462156295776
Blogs,0,22,hyperparameters,linear transformation,has,dimensionality reduction weight matrix ),linear transformation has dimensionality reduction weight matrix ),0.5149626731872559
Blogs,0,22,hyperparameters,hyperparameters,Obtain,vgg net embeddings,hyperparameters Obtain vgg net embeddings,0.4672742187976837
Blogs,0,23,hyperparameters,image embedding,frozen during,training,image embedding frozen during training,0.663400411605835
Blogs,0,23,hyperparameters,lstm,to combine,word vectors,lstm to combine word vectors,0.6700844168663025
Blogs,0,23,hyperparameters,hyperparameters,Keep,image embedding,hyperparameters Keep image embedding,0.5847697854042053
Blogs,0,10,model,algorithm,for,generating questions,algorithm for generating questions,0.6486601233482361
Blogs,0,10,model,generating questions,using,ms - coco dataset,generating questions using ms - coco dataset,0.6777762174606323
Blogs,0,11,model,preprocessing steps,breaking,large sentences,preprocessing steps breaking large sentences,0.7397244572639465
Blogs,0,11,model,model,Perform,preprocessing steps,model Perform preprocessing steps,0.6521064043045044
Blogs,0,20,model,input image,as,rst word,input image as rst word,0.5218281745910645
Blogs,0,20,model,rst word,in,question,rst word in question,0.5575449466705322
Blogs,0,20,model,model,Treat,input image,model Treat input image,0.5812841653823853
Blogs,0,21,model,vector representation ( skip-gram ),for,words,vector representation ( skip-gram ) for words,0.6057685613632202
Blogs,0,21,model,words,in,question,words in question,0.5680095553398132
Blogs,0,21,model,model,Obtain,vector representation ( skip-gram ),model Obtain vector representation ( skip-gram ),0.585108757019043
Blogs,0,24,model,lstm outputs,fed into,softmax layer,lstm outputs fed into softmax layer,0.5914134979248047
Blogs,0,24,model,softmax layer,generates,answer,softmax layer generates answer,0.6824012398719788
Blogs,0,24,model,model,has,lstm outputs,model has lstm outputs,0.5413433313369751
Blogs,0,8,results,downside,is,even guess work,downside is even guess work,0.6222573518753052
Blogs,0,8,results,even guess work,yield,good results,even guess work yield good results,0.7331272959709167
Blogs,0,8,results,results,has,downside,results has downside,0.5839234590530396
Blogs,0,17,results,metrics accuracy,has,wu -palmer similarity measure,metrics accuracy has wu -palmer similarity measure,0.5116413831710815
Blogs,0,17,results,results,has,metrics accuracy,results has metrics accuracy,0.5356631278991699
Blogs,0,19,results,bene ts,from,averaging,bene ts from averaging,0.596365213394165
Blogs,0,19,results,averaging,across,all the models,averaging across all the models,0.7040627598762512
Blogs,0,19,results,vis -lstm model,has,outperforms,vis -lstm model has outperforms,0.6202430725097656
Blogs,0,19,results,outperforms,has,baselines,outperforms has baselines,0.6144351959228516
Blogs,0,19,results,full model,has,bene ts,full model has bene ts,0.5353885889053345
Blogs,0,19,results,results,has,vis -lstm model,results has vis -lstm model,0.5601519346237183
Blogs,0,32,results,cnn hidden image features,into,zero mean and unit variance,cnn hidden image features into zero mean and unit variance,0.5526717305183411
