topic,paper_ID,sentence_ID,info-unit,sub,pred,obj
summarization,0,20,ablation-analysis,ATSA,extracted,aspect terms
summarization,0,20,ablation-analysis,ATSA,map them with,appropriate sentiment
summarization,0,20,ablation-analysis,ATSA,remove,any sentences
summarization,0,20,ablation-analysis,aspect terms,in,sentences
summarization,0,20,ablation-analysis,aspect terms,map them with,appropriate sentiment
summarization,0,20,ablation-analysis,sentences,with,one aspect
summarization,0,20,ablation-analysis,any sentences,with,one aspect
summarization,0,20,ablation-analysis,any sentences,with,multiple aspects
summarization,0,20,ablation-analysis,multiple aspects,with,same sentiment
summarization,0,20,ablation-analysis,Ablation analysis,For,ATSA
summarization,0,6,baselines,Baselines,proposed,simple baseline model
summarization,0,22,experiments,ACSA,pre-de,eight aspect categories
summarization,0,22,experiments,ACSA,ned,eight aspect categories
summarization,0,24,experiments,sentences,with,at least two unique aspect categories
summarization,0,24,experiments,at least two unique aspect categories,with,different sentiment
summarization,0,21,hyperparameters,start and end positions,for,each aspect term
summarization,0,28,hyperparameters,aspect term embedding,average of,aspect word embeddings
summarization,0,28,hyperparameters,Hyperparameters,For,aspect term embedding
summarization,0,29,hyperparameters,aspect category embedding,initialised,embedding
summarization,0,29,hyperparameters,aspect category embedding,learn during,training
summarization,0,29,hyperparameters,embedding,learn during,training
summarization,0,29,hyperparameters,embedding,has,randomly
summarization,0,29,hyperparameters,Hyperparameters,For,aspect category embedding
summarization,0,33,hyperparameters,sentiment matrix,feed into,squash activation
summarization,0,33,hyperparameters,squash activation,to obtain,sentiment capsules
summarization,0,33,hyperparameters,training,has,sentiment matrix
summarization,0,33,hyperparameters,Hyperparameters,During,training
summarization,0,8,model,aspect-aware sentence embedding,feed it into,Bi-directional GRU
summarization,0,8,model,Bi-directional GRU,with,residual connection
summarization,0,8,model,residual connection,to get,contextualised representation
summarization,0,8,model,Model,take,aspect-aware sentence embedding
summarization,0,10,model,squashing activation,get,primary capsules P
summarization,0,10,model,primary capsules P,using,contextualised representation
summarization,0,10,model,primary capsules P,using,aspect capsule
summarization,0,10,model,primary capsules P,using,aspect embedding
summarization,0,10,model,primary capsules P,using,aspect embedding
summarization,0,10,model,aspect capsule,using,aspect embedding
summarization,0,10,model,aspect embedding,from,embedding layer
summarization,0,10,model,Model,Using,linear transformation
summarization,0,12,model,length,cause,training
summarization,0,12,model,aspect capsule,to normalise,primary capsule weights
summarization,0,12,model,primary capsule weights,to select,important primary capsules
summarization,0,12,model,training,has,to be unstable
summarization,0,12,model,Model,use,aspect capsule
summarization,0,15,model,capsule- guided routing weights,compute,nal category capsules
summarization,0,15,model,primary capsules,has,aspect-aware normalised weights
summarization,0,15,model,Model,Using,primary capsules
summarization,0,16,model,embedding and encoding layer,replaced with,pre-trained BERT
summarization,0,16,model,CapsNet - BERT,has,embedding and encoding layer
summarization,0,16,model,Model,for,CapsNet - BERT
summarization,0,23,model,Each sentence,map to,aspect category
summarization,0,23,model,Each sentence,map to,aspect category
summarization,0,23,model,aspect category,along with,appropriate sentiment
summarization,0,23,model,appropriate sentiment,towards,aspect category
summarization,0,23,model,Model,has,Each sentence
summarization,0,26,model,sentence,with respect to,aspects
summarization,0,26,model,model,to predict,sentiment
summarization,0,26,model,sentiment,of,sentence
summarization,0,26,model,sentence,with respect to,aspects
summarization,0,26,model,Model,Given,sentence
summarization,0,26,model,Model,to predict,sentiment
summarization,0,30,model,output,of,embedding layer
summarization,0,30,model,embedding layer,is,aspect- aware sentence embedding
summarization,0,30,model,aspect- aware sentence embedding,concatenate,aspect embedding
summarization,0,30,model,aspect embedding,with,each word embedding
summarization,0,30,model,each word embedding,in,sentence
summarization,0,30,model,Model,has,output
summarization,0,32,model,prior knowledge,of,sentiment categories
summarization,0,32,model,sentiment categories,to improve,routing process
summarization,0,32,model,Model,leverages,prior knowledge
summarization,0,34,model,routing weights,by measuring,similarity
summarization,0,34,model,similarity,between,primary capsules and sentiment capsules
summarization,0,34,model,Model,has,routing weights
summarization,0,5,results,proposed MAMS dataset,could solve,common issue
summarization,0,5,results,ABSA dataset,to,sentence - level sentiment analysis
summarization,0,5,results,ABSA,to,sentence - level sentiment analysis
summarization,0,5,results,Results,has,proposed MAMS dataset
summarization,1,15,ablation-analysis,emotion label,of,happy
summarization,1,43,ablation-analysis,Ablation analysis,effectiveness of,pair filtering phase
summarization,1,8,experiments,fourth clause,considered,emotion clause
summarization,1,8,experiments,emotion clause,conveying,emotion of happiness
summarization,1,9,experiments,clauses,that contain,causes ( cause clause )
summarization,1,9,experiments,causes ( cause clause ),are,second clause and the third clause
summarization,1,14,experiments,pairs,of,emotion - cause clauses
summarization,1,35,experiments,benchmark emotion - cause dataset,by,"Gui et al. , 2016"
summarization,1,33,hyperparameters,pairs,that,output 1
summarization,1,33,hyperparameters,pairs,used for,evaluation
summarization,1,33,hyperparameters,output 1,final set of,emotion - cause pairs
summarization,1,33,hyperparameters,Hyperparameters,has,pairs
summarization,1,4,model,deep learning method,to extract,causes behind emotions in a document
summarization,1,4,model,Model,develop,deep learning method
summarization,1,6,model,emotion and causes,from,text
summarization,1,6,model,emotion and causes,using,multi-task learning
summarization,1,6,model,emotion and causes,conducts,emotion - cause pairing and filtering
summarization,1,6,model,emotion - cause pairing and filtering,using,improved version of the multi-task learning model
summarization,1,6,model,Model,separately extract,emotion and causes
summarization,1,18,model,two parts,conduct,emotion - cause pairing and filtering
summarization,1,18,model,extract sets,of,emotion and cause clauses
summarization,1,18,model,emotion and cause clauses,from,each document
summarization,1,18,model,each document,via,two kinds of multi-task learning networks
summarization,1,19,model,pairing,done via,Cartesian product
summarization,1,19,model,Cartesian product,applied to,set of emotion and cause clauses
summarization,1,19,model,Model,has,pairing
summarization,1,20,model,candidate emotion - cause pairs,on which,filter
summarization,1,20,model,filter,applied to remove,clause pairs
summarization,1,20,model,clause pairs,do n't contain,causal relationship
summarization,1,21,model,emotion and cause clauses,are,mutually independent
summarization,1,21,model,emotion and cause clauses,not,mutually independent
summarization,1,21,model,Model,propose,interactive multi
summarization,1,23,model,prediction,for,each type of clause
summarization,1,23,model,prediction,performed via,Bi-LSTM hidden representations
summarization,1,23,model,Bi-LSTM hidden representations,consist of,context - aware representations
summarization,1,23,model,context - aware representations,of,each clause
summarization,1,23,model,Model,shows how,prediction
summarization,1,25,model,Model,has,task learning network
summarization,1,27,model,improved model,performs,few extra steps
summarization,1,27,model,few extra steps,in,upper layers
summarization,1,27,model,few extra steps,allows,prediction
summarization,1,27,model,prediction,based on,interaction
summarization,1,27,model,interaction,of,two types of representations
summarization,1,28,model,enhancing emotion extraction,based on,cause extraction
summarization,1,28,model,enhancing cause extraction,based on,emotion extraction
summarization,1,28,model,cause extraction,has,Inter CE )
summarization,1,28,model,emotion extraction,has,Inter EC )
summarization,1,29,model,Model,has,output
summarization,1,30,model,objective,pair,two sets
summarization,1,30,model,two sets,to form,emotion - cause pairs
summarization,1,30,model,emotion - cause pairs,that form,causal relationships
summarization,1,30,model,Model,pair,two sets
summarization,1,30,model,Model,has,objective
summarization,1,32,model,cause relationship,determined via,logistic regression model
summarization,1,32,model,cause relationship,outputs,1 or 0
summarization,1,32,model,logistic regression model,takes as input,emotion - cause candidate pair features
summarization,1,32,model,emotion - cause candidate pair features,applied,Sigmoid operation
summarization,1,32,model,1 or 0,to indicate,relationship
summarization,1,32,model,relationship,exists for,each pair
summarization,1,32,model,Model,has,cause relationship
summarization,1,46,model,both sub-tasks,to improve,ECPE
summarization,1,46,model,Model,has,both sub-tasks
summarization,1,16,results,Results,has,identifying causes
summarization,1,36,results,"Precision , recall , and F1 scores",used as,evaluation metrics
summarization,1,36,results,Results,has,"Precision , recall , and F1 scores"
summarization,1,37,results,all the separate tasks,using,three proposed models
summarization,1,37,results,three proposed models,based on,multi-task learning
summarization,1,37,results,Results,for,all the separate tasks
summarization,1,38,results,Inter -EC,produced,better results
summarization,1,38,results,Results,has,Inter -EC
summarization,1,39,results,each other,in,individual tasks
summarization,1,39,results,cause extraction,has,improve
summarization,1,39,results,improve,has,each other
summarization,1,39,results,Results,observe,emotion extraction
summarization,1,40,results,results,consistent with,intuition
summarization,1,40,results,intuition,that,emotion and cause
summarization,1,40,results,emotion and cause,are,mutually indicative
summarization,1,40,results,Results,consistent with,intuition
summarization,1,40,results,Results,has,results
summarization,1,41,results,Other variations,of,models
summarization,1,41,results,models,leverage,dataset available annotations
summarization,1,41,results,improvements,use,additional information
summarization,1,41,results,additional information,to improve,predictions
summarization,1,41,results,predictions,of,different tasks
summarization,1,41,results,Results,has,Other variations
summarization,1,44,results,Results,using,rule-based and machine learning methods
summarization,1,45,results,emotion extraction,helps to improve,cause extraction
summarization,1,45,results,emotion extraction,helps to enhance,emotion extraction
summarization,1,45,results,cause extraction,helps to enhance,emotion extraction
summarization,1,45,results,Results,indicate,emotion extraction
summarization,2,33,ablation-analysis,listener component,does n't improve,model 's performance
summarization,2,38,ablation-analysis,important ablation study,to observe,importance
summarization,2,38,ablation-analysis,importance,of,Emotion GRU
summarization,2,38,ablation-analysis,importance,of,Party State components
summarization,2,38,ablation-analysis,Ablation analysis,to observe,importance
summarization,2,38,ablation-analysis,Ablation analysis,has,important ablation study
summarization,2,39,ablation-analysis,absence of part state,has,decreases
summarization,2,39,ablation-analysis,decreases,has,performance
summarization,2,40,ablation-analysis,party state,seems to be,more important
summarization,2,40,ablation-analysis,more important,than,Emotion GRU
summarization,2,40,ablation-analysis,Ablation analysis,observed,party state
summarization,2,26,baselines,DialogueRNN_l,considers,extra listener state
summarization,2,26,baselines,extra listener state,while,speaker utters
summarization,2,27,baselines,bidirectional RNN architecture,used instead,DialogueRNN + Att
summarization,2,27,baselines,attention,applied over,all surrounding emotion representations
summarization,2,27,baselines,BiDialogueRNN,has,bidirectional RNN architecture
summarization,2,27,baselines,BiDialogueRNN,has,attention
summarization,2,27,baselines,DialogueRNN + Att,has,attention
summarization,2,27,baselines,Baselines,has,BiDialogueRNN
summarization,2,2,experiments,DialogueRNN,has,Emotion Classification in Conversation
summarization,2,11,experiments,utterances,come in,multimodal setting
summarization,2,11,experiments,audio and visual features,extracted using,3D - CNN and openSMILE
summarization,2,11,experiments,utterances,has,audio and visual features
summarization,2,11,experiments,multimodal setting,has,audio and visual features
summarization,2,30,experiments,interactions,has,between multiple parties
summarization,2,36,experiments,DialogueRNN,correctly anticipates,emotion of frustration
summarization,2,36,experiments,emotion of frustration,using,preceding context ( 41 and 42 )
summarization,2,8,model,emotion detection model,considers,individual speakers
summarization,2,8,model,individual speakers,by focusing on,three different aspects
summarization,2,9,model,accurately predict,has,emotion of the utterance
summarization,2,10,model,Model Utterances,for,"party ( i.e. , individual )"
summarization,2,10,model,Model Utterances,represented through,textual features
summarization,2,10,model,"party ( i.e. , individual )",represented through,textual features
summarization,2,10,model,textual features,obtained from,convolutional neural network
summarization,2,10,model,Model,for,"party ( i.e. , individual )"
summarization,2,10,model,Model,has,Model Utterances
summarization,2,12,model,network,trained at,utterance level
summarization,2,12,model,utterance level,with,target emotion labels
summarization,2,12,model,Model,has,network
summarization,2,13,model,final emotion,of,utterance
summarization,2,13,model,Party state,models,parties ' emotion dynamics
summarization,2,13,model,parties ' emotion dynamics,through,conversations
summarization,2,13,model,Model,called,DialogueRNN
summarization,2,13,model,Model,determines,final emotion
summarization,2,14,model,party state,to ensure,model
summarization,2,14,model,model,is aware of,speaker
summarization,2,14,model,speaker,of,each utterance
summarization,2,14,model,each utterance,in,conversation
summarization,2,14,model,Model,behind,party state
summarization,2,15,model,Global state,jointly encoding,preceding utterances and the party state
summarization,2,15,model,Model,has,Global state
summarization,2,16,model,attention mechanism,applied to,global state
summarization,2,16,model,global state,to provide,improved context representation
summarization,2,16,model,Model,Note,attention mechanism
summarization,2,18,model,Emotion representation,inferred through,party state
summarization,2,18,model,Emotion representation,inferred through,preceding speaker 's states
summarization,2,18,model,preceding speaker 's states,as,context ( global state )
summarization,2,18,model,Model,has,Emotion representation
summarization,2,19,model,final emotion classification,via,softmax layer
summarization,2,20,model,Each component,of,architecture
summarization,2,20,model,Model,has,Each component
summarization,2,21,model,speaker state,updated using,current utterance
summarization,2,21,model,current utterance,along with,context
summarization,2,21,model,training,has,speaker state
summarization,2,21,model,Model,during,training
summarization,2,22,model,role,of,attention mechanism
summarization,2,22,model,role,assigns,higher attention scores
summarization,2,22,model,attention mechanism,assigns,higher attention scores
summarization,2,22,model,higher attention scores,to,utterances
