topic,paper_ID,sentence_ID,info-unit,sub,pred,obj
summarization,0,40,ablation-analysis,intrinsic quality,of,citation contextualisation
summarization,0,40,ablation-analysis,direct impact,on,end
summarization,0,40,ablation-analysis,citation contextualisation,has,direct impact
summarization,0,40,ablation-analysis,Ablation analysis,showcase,intrinsic quality
summarization,0,4,baselines,Baselines,has,Citation text
summarization,0,31,experiments,performance,of,biomedical embeddings
summarization,0,31,experiments,biomedical embeddings,with,retro tting
summarization,0,31,experiments,biomedical embeddings,with,interpolating domain knowledge
summarization,0,10,hyperparameters,embeddings,to score,documents
summarization,0,10,hyperparameters,semantically similar,to,chosen query
summarization,0,10,hyperparameters,Hyperparameters,used,embeddings
summarization,0,11,hyperparameters,Hyperparameters,used,domain ontologies
summarization,0,28,hyperparameters,MESH and Protein Ontologies ( PO ),to modify,word embeddings
summarization,0,28,hyperparameters,MESH and Protein Ontologies ( PO ),pull,synonymous words closer together
summarization,0,28,hyperparameters,Hyperparameters,used,MESH and Protein Ontologies ( PO )
summarization,0,30,hyperparameters,performance,of,training
summarization,0,30,hyperparameters,training,using,Wikipedia embeddings and biomedical embeddings
summarization,0,30,hyperparameters,Hyperparameters,directly modi ed,language model
summarization,0,30,hyperparameters,Hyperparameters,incorporate,performance
summarization,0,8,model,language models,by incorporating,word embeddings
summarization,0,8,model,language models,by incorporating,domain ontology
summarization,0,12,model,domain ontologies,extend,embedding based language models
summarization,0,12,model,Model,has,domain ontologies
summarization,0,16,results,biomedical embeddings,with,domain knowledge interpolation
summarization,0,16,results,domain knowledge interpolation,achieved,best performance
summarization,0,16,results,best performance,in,most of the evaluation metrics
summarization,0,16,results,Results,our model of,biomedical embeddings
summarization,0,17,results,our models,are,effective
summarization,0,17,results,effective,in,many different aspects
summarization,0,17,results,Results,indicates,our models
summarization,0,18,results,general embedding,does not provide,much advantage
summarization,0,18,results,much advantage,compared to,best performing baseline model
summarization,0,18,results,Results,found that,general embedding
summarization,0,19,results,domain-speci c embeddings,observed,10 % c-F improvement
summarization,0,19,results,10 % c-F improvement,over,best performing baseline model
summarization,0,19,results,Results,used,domain-speci c embeddings
summarization,0,20,results,biomedical embeddings,better at capturing,word relations
