topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
translation,0,105,ablation-analysis,softmax tempering,is,very important,softmax tempering is very important,0.5217532515525818
translation,0,105,ablation-analysis,softmax tempering,not that important in,highresource settings,softmax tempering not that important in highresource settings,0.6795362234115601
translation,0,105,ablation-analysis,very important,in,low-resource settings,very important in low-resource settings,0.5490085482597351
translation,0,158,ablation-analysis,improvements,of,1.0 to 2.0 bleu points,improvements of 1.0 to 2.0 bleu points,0.574353814125061
translation,0,158,ablation-analysis,settings,has,improvements,settings has improvements,0.6147841811180115
translation,0,165,ablation-analysis,label smoothing and sem,without,tempering,label smoothing and sem without tempering,0.6995123624801636
translation,0,165,ablation-analysis,sem loss,seems to matter less,lower values for sem loss,sem loss seems to matter less lower values for sem loss,0.6577257513999939
translation,0,165,ablation-analysis,label smoothing and sem,has,translation quality,label smoothing and sem has translation quality,0.5404294729232788
translation,0,165,ablation-analysis,combined,has,translation quality,combined has translation quality,0.5752008557319641
translation,0,165,ablation-analysis,tempering,has,translation quality,tempering has translation quality,0.5371434092521667
translation,0,165,ablation-analysis,translation quality,has,improves,translation quality has improves,0.6089749336242676
translation,0,165,ablation-analysis,ablation analysis,When,label smoothing and sem,ablation analysis When label smoothing and sem,0.6260362863540649
translation,0,12,baselines,nmt for high- resource language pairs,choose,nmt architecture,nmt for high- resource language pairs choose nmt architecture,0.6819647550582886
translation,0,12,baselines,nmt for high- resource language pairs,train,model,nmt for high- resource language pairs train model,0.6272547841072083
translation,0,12,baselines,model,on,all existing data,model on all existing data,0.4970008432865143
translation,0,12,baselines,model,by minimizing,softmax cross-entropy loss,model by minimizing softmax cross-entropy loss,0.639188289642334
translation,0,12,baselines,baselines,has,nmt for high- resource language pairs,baselines has nmt for high- resource language pairs,0.551098108291626
translation,0,78,experimental-setup,transformer base   and   transformer big   models,used,hyper-parameter settings,transformer base   and   transformer big   models used hyper-parameter settings,0.6339563727378845
translation,0,78,experimental-setup,hyper-parameter settings,in,transformer base single gpu and transformer big single gpu,hyper-parameter settings in transformer base single gpu and transformer big single gpu,0.5264527797698975
translation,0,78,experimental-setup,experimental setup,For,transformer base   and   transformer big   models,experimental setup For transformer base   and   transformer big   models,0.5770204067230225
translation,0,79,experimental-setup,label smoothing,of,0.1,label smoothing of 0.1,0.599534809589386
translation,0,79,experimental-setup,experimental setup,has,label smoothing,experimental setup has label smoothing,0.4983872175216675
translation,0,80,experimental-setup,internal sub-word tokenization mechanism,of,tensor2tensor,internal sub-word tokenization mechanism of tensor2tensor,0.5537843704223633
translation,0,80,experimental-setup,tensor2tensor,with,separate source and target language vocabularies,tensor2tensor with separate source and target language vocabularies,0.603532075881958
translation,0,80,experimental-setup,separate source and target language vocabularies,of size,"8,192 and 32,768","separate source and target language vocabularies of size 8,192 and 32,768",0.6931143999099731
translation,0,80,experimental-setup,"8,192 and 32,768",for,low-resource and high- resource settings,"8,192 and 32,768 for low-resource and high- resource settings",0.6196557879447937
translation,0,80,experimental-setup,experimental setup,used,internal sub-word tokenization mechanism,experimental setup used internal sub-word tokenization mechanism,0.5801734328269958
translation,0,81,experimental-setup,our models,for,softmax temperature values,our models for softmax temperature values,0.6055556535720825
translation,0,81,experimental-setup,experimental setup,trained,our models,experimental setup trained our models,0.7180708050727844
translation,0,30,results,greedy - search performance,of,models,greedy - search performance of models,0.622206449508667
translation,0,30,results,greedy - search performance,of,models,greedy - search performance of models,0.622206449508667
