topic,paper_ID,sentence_ID,info-unit,sub,pred,obj
translation,0,141,baselines,Classifier - EDA,is,classifier
translation,0,141,baselines,classifier,trained with,data augmentation techniques
translation,0,141,baselines,data augmentation techniques,in,Wei and Zou ( 2019 )
translation,0,141,baselines,Baselines,has,Classifier - EDA
translation,0,146,baselines,Emb - kNN,is,kNN method
translation,0,146,baselines,kNN method,with,S ( Ro ) BERT
translation,0,146,baselines,Emb-kNN - vanilla,without using,intent training examples
translation,0,146,baselines,intent training examples,for,finetuning
translation,0,146,baselines,S ( Ro ) BERT,has,a )
translation,0,146,baselines,Baselines,has,kNN baselines
translation,0,147,baselines,TF - IDF - kNN,is,kNN baseline
translation,0,147,baselines,kNN baseline,using,TF - IDF vectors
translation,0,147,baselines,Baselines,has,TF - IDF - kNN
translation,0,128,experimental-setup,label smoothing,to,all the cross-entropy loss functions
translation,0,128,experimental-setup,Experimental setup,apply,label smoothing
translation,0,129,experimental-setup,Experiments,conducted on,single NVIDIA Tesla V100 GPU
translation,0,129,experimental-setup,single NVIDIA Tesla V100 GPU,with,16GB memory
translation,0,129,experimental-setup,Experimental setup,conducted on,single NVIDIA Tesla V100 GPU
translation,0,129,experimental-setup,Experimental setup,has,Experiments
translation,0,127,experiments,three NLI datasets,from,GLUE benchmark
translation,0,127,experiments,"MNLI WNLI ( Levesque et al. , 2011 )",from,GLUE benchmark
translation,0,127,experiments,GLUE benchmark,to pre-train,proposed model
translation,0,161,experiments,entire CLINC150 dataset,with,150 intents
translation,0,175,experiments,latency,measured on,single NVIDIA Tesla V100 GPU
translation,0,175,experiments,single NVIDIA Tesla V100 GPU,where,batch size
translation,0,175,experiments,batch size,is,1
translation,0,175,experiments,1,to simulate,online use case
translation,0,6,model,discriminative nearest neighbor classification,with,deep self-attention
translation,0,6,model,simple yet effective approach,has,discriminative nearest neighbor classification
translation,0,7,model,BERTstyle pairwise encoding,to train,binary classifier
translation,0,7,model,binary classifier,that estimates,best matched training example
translation,0,7,model,best matched training example,for,user input
translation,0,8,model,discriminative ability,by transferring,natural language inference ( NLI ) model
translation,0,8,model,Model,boost,discriminative ability
translation,0,18,model,Model,propose,discriminative nearest neighbor classification ( DNNC ) model
translation,0,19,model,limited training examples,both in,training and inference time
translation,0,19,model,training and inference time,as,nearest neighbor classification schema
translation,0,20,model,BERT - style paired text encoding,with,deep self-attention
translation,0,20,model,deep self-attention,to directly model,relations
translation,0,20,model,relations,between,pairs
translation,0,20,model,pairs,of,user utterances
translation,0,20,model,Model,leverage,BERT - style paired text encoding
translation,0,155,results,Model Performance,has,CLINC150 Dataset Single domains
translation,0,155,results,Results,has,Model Performance
translation,0,156,results,test set results,of,5 - shot and 10 - shot
translation,0,156,results,test set results,of,OOS detection
translation,0,156,results,5 - shot and 10 - shot,has,in- domain classification
translation,0,157,results,proposed DNNC method,consistently attains,best results
translation,0,157,results,best results,across,all the four domains
translation,0,157,results,5 - shot setting,has,proposed DNNC method
translation,0,157,results,Results,In,5 - shot setting
translation,0,158,results,comparison,between,DNNC - scratch and DNNC
translation,0,158,results,DNNC - scratch and DNNC,shows,our NLI task transfer
translation,0,158,results,our NLI task transfer,is,effective
translation,0,158,results,Results,has,comparison
translation,0,159,results,all the approaches,experience,accuracy improvement
translation,0,159,results,accuracy improvement,due to,additional training data
translation,0,159,results,dominant performance,of,DNNC
translation,0,159,results,10 - shot setting,has,all the approaches
translation,0,159,results,DNNC,has,weakens
translation,0,159,results,Results,In,10 - shot setting
translation,0,160,results,our DNNC,comparable with or even surpasses,some of the 50 - shot classifier 's scores
translation,0,160,results,Results,see that,our DNNC
translation,0,162,results,USE + ConveRT,performs,worse
translation,0,162,results,worse,than,RoBERTabased classifier
translation,0,162,results,RoBERTabased classifier,on,OOD detection task
translation,0,162,results,Results,has,USE + ConveRT
translation,0,163,results,advantage,of,DNNC
translation,0,163,results,DNNC,for,in- domain intent detection
translation,0,163,results,DNNC,is,clear
translation,0,163,results,DNNC,with,10 - shot in - domain accuracy
translation,0,163,results,in- domain intent detection,is,clear
translation,0,163,results,clear,with,10 - shot in - domain accuracy
translation,0,163,results,10 - shot in - domain accuracy,close to,upper-bound accuracy
translation,0,163,results,upper-bound accuracy,for,classifier baseline
translation,0,163,results,Results,has,advantage
translation,0,164,results,our DNNC method,more confident about,prediction
translation,0,164,results,OOS recall,becomes,lower
translation,0,164,results,lower,in,10 - shot setting
translation,0,166,results,USE + ConveRT baseline,evaluated along with,OOS detection task
translation,0,166,results,not as good,as,other RoBERTabased models
translation,0,166,results,USE + ConveRT baseline,has,overall accuracy
translation,0,166,results,OOS detection task,has,overall accuracy
translation,0,171,results,DNNC,is,most robust
translation,0,171,results,most robust,to,threshold selection
translation,0,171,results,5 - shot setting,has,DNNC
translation,0,171,results,Results,observe,5 - shot setting
translation,0,171,results,Results,in,5 - shot setting
translation,0,184,results,DNNC - joint model,shows,competitiveness
translation,0,184,results,competitiveness,in,both inference latency and accuracy
translation,0,184,results,Results,has,DNNC - joint model
translation,1,2,experiments,OCNLI,has,Original Chinese Natural Language Inference
translation,1,5,experiments,Chinese,called,Original Chinese Natural Language Inference dataset ( OCNLI )
translation,1,94,model,new hypothesis elicitation method,called,multi-hypothesis elicitation
translation,1,140,results,lower,for,MULTICONSTRAINT
translation,1,140,results,Results,has,Agreement
translation,1,174,results,All of the non-transformer models,perform,poorly
translation,1,174,results,BERT and RoBERTa,reach,?20 percentagepoint advantage
translation,1,174,results,?20 percentagepoint advantage,over,strongest of these models ( ESIM )
translation,1,174,results,Results,has,All of the non-transformer models
translation,1,176,results,best model,based on,RoBERTa
translation,1,176,results,best model,still about 12 points below,human performance
translation,1,176,results,human performance,on,our test data
translation,1,176,results,transformers,has,strongly outperform
translation,1,176,results,transformers,has,best model
translation,1,176,results,strongly outperform,has,other baseline models
translation,1,176,results,Results,find,transformers
translation,1,197,results,OCNLI and XNLI,combined for,fine-tuning
translation,1,197,results,OCNLI and XNLI,reaches,lower accuracies
translation,1,197,results,improves performance,over,results
translation,1,197,results,improves performance,reaches,lower accuracies
translation,1,197,results,results,using,XNLI
translation,1,197,results,lower accuracies,than,fine-tuning
